id,age,fare,parents_and_children,p_class,siblings_and_spouses,survived,fam_size,fam_mul_size,fare_mul_pclass,fare_mul_age,fare_div_age,pclass_mul_age,pclass_div_age,cabin_A,cabin_B,cabin_C,cabin_D,cabin_E,cabin_F,cabin_G,cabin_U,sex_female,sex_male,social_status_high,social_status_normal
1,22.0,7.25,0,3,1,0.0,1,0,2.41666666667,159.5,0.329545454545,66.0,0.136363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2,38.0,71.2833,0,1,1,1.0,1,0,71.2833,2708.7654,1.87587631579,38.0,0.0263157894737,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3,26.0,7.925,0,3,0,1.0,0,0,2.64166666667,206.05,0.304807692308,78.0,0.115384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
4,35.0,53.1,0,1,1,1.0,1,0,53.1,1858.5,1.51714285714,35.0,0.0285714285714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,35.0,8.05,0,3,0,0.0,0,0,2.68333333333,281.75,0.23,105.0,0.0857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
6,25.0,8.4583,0,3,0,0.0,0,0,2.81943333333,211.4575,0.338332,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
7,54.0,51.8625,0,1,0,0.0,0,0,51.8625,2800.575,0.960416666667,54.0,0.0185185185185,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,2.0,21.075,1,3,3,0.0,4,3,7.025,42.15,10.5375,6.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
9,27.0,11.1333,2,3,0,1.0,2,0,3.7111,300.5991,0.412344444444,81.0,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
10,14.0,30.0708,0,2,1,1.0,1,0,15.0354,420.9912,2.14791428571,28.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
11,4.0,16.7,1,3,1,1.0,2,1,5.56666666667,66.8,4.175,12.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
12,58.0,26.55,0,1,0,1.0,0,0,26.55,1539.9,0.45775862069,58.0,0.0172413793103,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
13,20.0,8.05,0,3,0,0.0,0,0,2.68333333333,161.0,0.4025,60.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
14,39.0,31.275,5,3,1,0.0,6,5,10.425,1219.725,0.801923076923,117.0,0.0769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
15,14.0,7.8542,0,3,0,0.0,0,0,2.61806666667,109.9588,0.561014285714,42.0,0.214285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
16,55.0,16.0,0,2,0,1.0,0,0,8.0,880.0,0.290909090909,110.0,0.0363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
17,2.0,29.125,1,3,4,0.0,5,4,9.70833333333,58.25,14.5625,6.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
18,29.5,13.0,0,2,0,1.0,0,0,6.5,383.5,0.440677966102,59.0,0.0677966101695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
19,31.0,18.0,0,3,1,0.0,1,0,6.0,558.0,0.58064516129,93.0,0.0967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
20,22.0,7.225,0,3,0,1.0,0,0,2.40833333333,158.95,0.328409090909,66.0,0.136363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
21,35.0,26.0,0,2,0,0.0,0,0,13.0,910.0,0.742857142857,70.0,0.0571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
22,34.0,13.0,0,2,0,1.0,0,0,6.5,442.0,0.382352941176,68.0,0.0588235294118,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23,15.0,8.0292,0,3,0,1.0,0,0,2.6764,120.438,0.53528,45.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
24,28.0,35.5,0,1,0,1.0,0,0,35.5,994.0,1.26785714286,28.0,0.0357142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
25,8.0,21.075,1,3,3,0.0,4,3,7.025,168.6,2.634375,24.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
26,38.0,31.3875,5,3,1,1.0,6,5,10.4625,1192.725,0.825986842105,114.0,0.0789473684211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
27,25.0,7.225,0,3,0,0.0,0,0,2.40833333333,180.625,0.289,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
28,19.0,263.0,2,1,3,0.0,5,6,263.0,4997.0,13.8421052632,19.0,0.0526315789474,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
29,22.0,7.8792,0,3,0,1.0,0,0,2.6264,173.3424,0.358145454545,66.0,0.136363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
30,25.0,7.8958,0,3,0,0.0,0,0,2.63193333333,197.395,0.315832,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
31,40.0,27.7208,0,1,0,0.0,0,0,27.7208,1108.832,0.69302,40.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
32,36.0,146.5208,0,1,1,1.0,1,0,146.5208,5274.7488,4.07002222222,36.0,0.0277777777778,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
33,22.0,7.75,0,3,0,1.0,0,0,2.58333333333,170.5,0.352272727273,66.0,0.136363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
34,66.0,10.5,0,2,0,0.0,0,0,5.25,693.0,0.159090909091,132.0,0.030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
35,28.0,82.1708,0,1,1,0.0,1,0,82.1708,2300.7824,2.93467142857,28.0,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
36,42.0,52.0,0,1,1,0.0,1,0,52.0,2184.0,1.2380952381,42.0,0.0238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
37,25.0,7.2292,0,3,0,1.0,0,0,2.40973333333,180.73,0.289168,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
38,21.0,8.05,0,3,0,0.0,0,0,2.68333333333,169.05,0.383333333333,63.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
39,18.0,18.0,0,3,2,0.0,2,0,6.0,324.0,1.0,54.0,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
40,14.0,11.2417,0,3,1,1.0,1,0,3.74723333333,157.3838,0.802978571429,42.0,0.214285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
41,40.0,9.475,0,3,1,0.0,1,0,3.15833333333,379.0,0.236875,120.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
42,27.0,21.0,0,2,1,0.0,1,0,10.5,567.0,0.777777777778,54.0,0.0740740740741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
43,25.0,7.8958,0,3,0,0.0,0,0,2.63193333333,197.395,0.315832,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
44,3.0,41.5792,2,2,1,1.0,3,2,20.7896,124.7376,13.8597333333,6.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
45,19.0,7.8792,0,3,0,1.0,0,0,2.6264,149.7048,0.414694736842,57.0,0.157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
46,25.0,8.05,0,3,0,0.0,0,0,2.68333333333,201.25,0.322,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
47,25.0,15.5,0,3,1,0.0,1,0,5.16666666667,387.5,0.62,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
48,22.0,7.75,0,3,0,1.0,0,0,2.58333333333,170.5,0.352272727273,66.0,0.136363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
49,25.0,21.6792,0,3,2,0.0,2,0,7.2264,541.98,0.867168,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
50,18.0,17.8,0,3,1,0.0,1,0,5.93333333333,320.4,0.988888888889,54.0,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
51,7.0,39.6875,1,3,4,0.0,5,4,13.2291666667,277.8125,5.66964285714,21.0,0.428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
52,21.0,7.8,0,3,0,0.0,0,0,2.6,163.8,0.371428571429,63.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
53,49.0,76.7292,0,1,1,1.0,1,0,76.7292,3759.7308,1.56590204082,49.0,0.0204081632653,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
54,29.0,26.0,0,2,1,1.0,1,0,13.0,754.0,0.896551724138,58.0,0.0689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
55,65.0,61.9792,1,1,0,0.0,1,0,61.9792,4028.648,0.953526153846,65.0,0.0153846153846,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
56,42.0,35.5,0,1,0,1.0,0,0,35.5,1491.0,0.845238095238,42.0,0.0238095238095,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
57,21.0,10.5,0,2,0,1.0,0,0,5.25,220.5,0.5,42.0,0.0952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
58,28.5,7.2292,0,3,0,0.0,0,0,2.40973333333,206.0322,0.253656140351,85.5,0.105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
59,5.0,27.75,2,2,1,1.0,3,2,13.875,138.75,5.55,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
60,11.0,46.9,2,3,5,0.0,7,10,15.6333333333,515.9,4.26363636364,33.0,0.272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
61,22.0,7.2292,0,3,0,0.0,0,0,2.40973333333,159.0424,0.3286,66.0,0.136363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
62,38.0,80.0,0,1,0,1.0,0,0,80.0,3040.0,2.10526315789,38.0,0.0263157894737,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
63,45.0,83.475,0,1,1,0.0,1,0,83.475,3756.375,1.855,45.0,0.0222222222222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
64,4.0,27.9,2,3,3,0.0,5,6,9.3,111.6,6.975,12.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
65,42.0,27.7208,0,1,0,0.0,0,0,27.7208,1164.2736,0.660019047619,42.0,0.0238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
66,25.0,15.2458,1,3,1,1.0,2,1,5.08193333333,381.145,0.609832,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
67,29.0,10.5,0,2,0,1.0,0,0,5.25,304.5,0.362068965517,58.0,0.0689655172414,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
68,19.0,8.1583,0,3,0,0.0,0,0,2.71943333333,155.0077,0.429384210526,57.0,0.157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
69,17.0,7.925,2,3,4,1.0,6,8,2.64166666667,134.725,0.466176470588,51.0,0.176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
70,26.0,8.6625,0,3,2,0.0,2,0,2.8875,225.225,0.333173076923,78.0,0.115384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
71,32.0,10.5,0,2,0,0.0,0,0,5.25,336.0,0.328125,64.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
72,16.0,46.9,2,3,5,0.0,7,10,15.6333333333,750.4,2.93125,48.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
73,21.0,73.5,0,2,0,0.0,0,0,36.75,1543.5,3.5,42.0,0.0952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
74,26.0,14.4542,0,3,1,0.0,1,0,4.81806666667,375.8092,0.555930769231,78.0,0.115384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
75,32.0,56.4958,0,3,0,1.0,0,0,18.8319333333,1807.8656,1.76549375,96.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
76,25.0,7.65,0,3,0,0.0,0,0,2.55,191.25,0.306,75.0,0.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
77,25.0,7.8958,0,3,0,0.0,0,0,2.63193333333,197.395,0.315832,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
78,25.0,8.05,0,3,0,0.0,0,0,2.68333333333,201.25,0.322,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
79,0.83,29.0,2,2,0,1.0,2,0,14.5,24.07,34.9397590361,1.66,2.40963855422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
80,30.0,12.475,0,3,0,1.0,0,0,4.15833333333,374.25,0.415833333333,90.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
81,22.0,9.0,0,3,0,0.0,0,0,3.0,198.0,0.409090909091,66.0,0.136363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
82,29.0,9.5,0,3,0,1.0,0,0,3.16666666667,275.5,0.327586206897,87.0,0.103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
83,22.0,7.7875,0,3,0,1.0,0,0,2.59583333333,171.325,0.353977272727,66.0,0.136363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
84,28.0,47.1,0,1,0,0.0,0,0,47.1,1318.8,1.68214285714,28.0,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
85,17.0,10.5,0,2,0,1.0,0,0,5.25,178.5,0.617647058824,34.0,0.117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
86,33.0,15.85,0,3,3,1.0,3,0,5.28333333333,523.05,0.480303030303,99.0,0.0909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
87,16.0,34.375,3,3,1,0.0,4,3,11.4583333333,550.0,2.1484375,48.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
88,25.0,8.05,0,3,0,0.0,0,0,2.68333333333,201.25,0.322,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
89,23.0,263.0,2,1,3,1.0,5,6,263.0,6049.0,11.4347826087,23.0,0.0434782608696,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
90,24.0,8.05,0,3,0,0.0,0,0,2.68333333333,193.2,0.335416666667,72.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
91,29.0,8.05,0,3,0,0.0,0,0,2.68333333333,233.45,0.277586206897,87.0,0.103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
92,20.0,7.8542,0,3,0,0.0,0,0,2.61806666667,157.084,0.39271,60.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
93,46.0,61.175,0,1,1,0.0,1,0,61.175,2814.05,1.32989130435,46.0,0.0217391304348,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
94,26.0,20.575,2,3,1,0.0,3,2,6.85833333333,534.95,0.791346153846,78.0,0.115384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
95,59.0,7.25,0,3,0,0.0,0,0,2.41666666667,427.75,0.122881355932,177.0,0.0508474576271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
96,25.0,8.05,0,3,0,0.0,0,0,2.68333333333,201.25,0.322,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
97,71.0,34.6542,0,1,0,0.0,0,0,34.6542,2460.4482,0.488087323944,71.0,0.0140845070423,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
98,23.0,63.3583,1,1,0,1.0,1,0,63.3583,1457.2409,2.75470869565,23.0,0.0434782608696,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
99,34.0,23.0,1,2,0,1.0,1,0,11.5,782.0,0.676470588235,68.0,0.0588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
100,34.0,26.0,0,2,1,0.0,1,0,13.0,884.0,0.764705882353,68.0,0.0588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
101,28.0,7.8958,0,3,0,0.0,0,0,2.63193333333,221.0824,0.281992857143,84.0,0.107142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
102,25.0,7.8958,0,3,0,0.0,0,0,2.63193333333,197.395,0.315832,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
103,21.0,77.2875,1,1,0,0.0,1,0,77.2875,1623.0375,3.68035714286,21.0,0.047619047619,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
104,33.0,8.6542,0,3,0,0.0,0,0,2.88473333333,285.5886,0.262248484848,99.0,0.0909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
105,37.0,7.925,0,3,2,0.0,2,0,2.64166666667,293.225,0.214189189189,111.0,0.0810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
106,28.0,7.8958,0,3,0,0.0,0,0,2.63193333333,221.0824,0.281992857143,84.0,0.107142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
107,21.0,7.65,0,3,0,1.0,0,0,2.55,160.65,0.364285714286,63.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
108,25.0,7.775,0,3,0,1.0,0,0,2.59166666667,194.375,0.311,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
109,38.0,7.8958,0,3,0,0.0,0,0,2.63193333333,300.0404,0.207784210526,114.0,0.0789473684211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
110,22.0,24.15,0,3,1,1.0,1,0,8.05,531.3,1.09772727273,66.0,0.136363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
111,47.0,52.0,0,1,0,0.0,0,0,52.0,2444.0,1.10638297872,47.0,0.0212765957447,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
112,14.5,14.4542,0,3,1,0.0,1,0,4.81806666667,209.5859,0.99684137931,43.5,0.206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
113,22.0,8.05,0,3,0,0.0,0,0,2.68333333333,177.1,0.365909090909,66.0,0.136363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
114,20.0,9.825,0,3,1,0.0,1,0,3.275,196.5,0.49125,60.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
115,17.0,14.4583,0,3,0,0.0,0,0,4.81943333333,245.7911,0.850488235294,51.0,0.176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
116,21.0,7.925,0,3,0,0.0,0,0,2.64166666667,166.425,0.377380952381,63.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
117,70.5,7.75,0,3,0,0.0,0,0,2.58333333333,546.375,0.109929078014,211.5,0.0425531914894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
118,29.0,21.0,0,2,1,0.0,1,0,10.5,609.0,0.724137931034,58.0,0.0689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
119,24.0,247.5208,1,1,0,0.0,1,0,247.5208,5940.4992,10.3133666667,24.0,0.0416666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
120,2.0,31.275,2,3,4,0.0,6,8,10.425,62.55,15.6375,6.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
121,21.0,73.5,0,2,2,0.0,2,0,36.75,1543.5,3.5,42.0,0.0952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
122,25.0,8.05,0,3,0,0.0,0,0,2.68333333333,201.25,0.322,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
123,32.5,30.0708,0,2,1,0.0,1,0,15.0354,977.301,0.925255384615,65.0,0.0615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
124,32.5,13.0,0,2,0,1.0,0,0,6.5,422.5,0.4,65.0,0.0615384615385,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
125,54.0,77.2875,1,1,0,0.0,1,0,77.2875,4173.525,1.43125,54.0,0.0185185185185,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
126,12.0,11.2417,0,3,1,1.0,1,0,3.74723333333,134.9004,0.936808333333,36.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
127,25.0,7.75,0,3,0,0.0,0,0,2.58333333333,193.75,0.31,75.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
128,24.0,7.1417,0,3,0,1.0,0,0,2.38056666667,171.4008,0.297570833333,72.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
129,22.0,22.3583,1,3,1,1.0,2,1,7.45276666667,491.8826,1.01628636364,66.0,0.136363636364,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
130,45.0,6.975,0,3,0,0.0,0,0,2.325,313.875,0.155,135.0,0.0666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
131,33.0,7.8958,0,3,0,0.0,0,0,2.63193333333,260.5614,0.239266666667,99.0,0.0909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
132,20.0,7.05,0,3,0,0.0,0,0,2.35,141.0,0.3525,60.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
